               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.038983,            0.049879,            0.016801,             0.96583,             0.91869,             0.95951,             0.68828,            0.033158,            0.033156,             0.01077,           0.0065734,           0.0065734,           0.0065734
                 129,            0.040455,            0.054248,            0.017173,             0.95868,             0.92974,             0.94964,             0.70703,            0.033078,            0.033644,            0.010535,           0.0065276,           0.0065276,           0.0065276
                 130,            0.040922,            0.052543,            0.016565,             0.96334,             0.89905,             0.94882,             0.69457,            0.033766,            0.033514,            0.011788,           0.0064816,           0.0064816,           0.0064816
                 131,            0.039023,            0.050298,             0.01553,             0.96976,             0.93253,             0.95116,             0.70031,            0.031779,            0.032368,            0.011247,           0.0064356,           0.0064356,           0.0064356
                 132,            0.037832,            0.049431,            0.015548,             0.98963,             0.92695,             0.95322,             0.70556,            0.031639,             0.03188,            0.011232,           0.0063895,           0.0063895,           0.0063895
                 133,            0.036844,            0.049541,            0.014935,             0.99174,             0.93282,             0.95876,             0.69907,            0.034367,            0.033214,            0.010905,           0.0063432,           0.0063432,           0.0063432
                 134,            0.040742,            0.053285,            0.016509,             0.97355,             0.95411,             0.96516,             0.69671,            0.033036,            0.033132,            0.010194,           0.0062969,           0.0062969,           0.0062969
                 135,            0.041521,            0.057897,             0.01697,             0.97939,             0.95691,             0.96868,             0.70266,            0.031562,            0.032549,           0.0099994,           0.0062505,           0.0062505,           0.0062505
                 136,            0.038992,             0.05075,            0.015935,             0.98471,             0.95927,             0.97005,             0.73032,            0.031095,            0.032254,           0.0097062,            0.006204,            0.006204,            0.006204
                 137,            0.037749,            0.048915,            0.015348,              0.9809,             0.96085,             0.97083,             0.71204,            0.032165,            0.032547,           0.0096498,           0.0061574,           0.0061574,           0.0061574
                 138,            0.040276,            0.057642,            0.017115,             0.96794,             0.94401,             0.95495,             0.71686,            0.031863,            0.032077,            0.010182,           0.0061107,           0.0061107,           0.0061107
                 139,             0.03957,            0.053361,            0.015739,              0.9753,             0.94697,              0.9584,             0.70662,            0.033529,             0.03339,           0.0098369,            0.006064,            0.006064,            0.006064
                 140,            0.037796,            0.051655,             0.01411,             0.96725,             0.95333,             0.96086,             0.70816,            0.033807,             0.03357,           0.0096507,           0.0060172,           0.0060172,           0.0060172
                 141,            0.036558,            0.048937,            0.014919,             0.97596,             0.94432,             0.95975,             0.71593,            0.032857,             0.03344,           0.0097126,           0.0059704,           0.0059704,           0.0059704
                 142,             0.03943,            0.049599,            0.014952,             0.98057,              0.9594,             0.96993,             0.70306,            0.033212,            0.032921,           0.0099725,           0.0059235,           0.0059235,           0.0059235
                 143,            0.039264,            0.049858,            0.015258,             0.90583,             0.88674,             0.93017,             0.66274,            0.032909,            0.033173,            0.014103,           0.0058766,           0.0058766,           0.0058766
                 144,             0.03784,            0.049355,            0.016116,             0.90393,             0.89887,             0.91873,             0.66512,            0.031979,            0.033056,            0.013081,           0.0058296,           0.0058296,           0.0058296
                 145,            0.038292,            0.049506,            0.015866,             0.93481,             0.93963,             0.94822,             0.66298,             0.03398,            0.033375,            0.011379,           0.0057826,           0.0057826,           0.0057826
                 146,            0.038622,            0.049115,            0.016038,             0.93352,             0.88888,             0.92796,             0.67571,            0.032417,            0.033042,            0.012096,           0.0057355,           0.0057355,           0.0057355
                 147,            0.039887,            0.053171,            0.015334,             0.95526,             0.93719,             0.95536,             0.69329,            0.030801,            0.032997,            0.011075,           0.0056884,           0.0056884,           0.0056884
                 148,            0.039535,            0.047359,            0.014341,             0.96077,             0.94613,             0.95782,             0.70171,            0.031288,            0.032454,            0.010703,           0.0056413,           0.0056413,           0.0056413
                 149,            0.038089,            0.051002,            0.014775,             0.96868,             0.95271,             0.96215,             0.70349,            0.033128,            0.033168,            0.010539,           0.0055942,           0.0055942,           0.0055942
                 150,            0.038992,            0.052519,            0.014801,             0.96628,             0.94257,             0.96303,             0.61694,            0.039432,            0.034184,            0.010849,           0.0055471,           0.0055471,           0.0055471
                 151,            0.041992,            0.051463,            0.014269,             0.95004,             0.92312,             0.93104,             0.57461,            0.040198,            0.034325,            0.010656,              0.0055,              0.0055,              0.0055
                 152,            0.041386,            0.052791,            0.016335,             0.97757,             0.91554,             0.96045,             0.70562,            0.032883,            0.031864,            0.011114,           0.0054529,           0.0054529,           0.0054529
                 153,            0.042102,            0.052882,            0.016363,             0.93972,             0.87511,             0.92478,             0.64001,            0.034837,            0.033543,            0.012519,           0.0054058,           0.0054058,           0.0054058
                 154,            0.040494,            0.049232,            0.013654,             0.96702,             0.87265,             0.93498,             0.66305,             0.03463,            0.033966,            0.012274,           0.0053587,           0.0053587,           0.0053587
                 155,            0.040055,            0.052958,            0.015927,             0.95112,             0.92108,             0.94378,              0.6057,            0.038995,             0.03429,            0.011098,           0.0053116,           0.0053116,           0.0053116
                 156,            0.038047,            0.048938,            0.014797,             0.96553,             0.92925,             0.95404,             0.69904,            0.032053,            0.032649,            0.011448,           0.0052645,           0.0052645,           0.0052645
                 157,            0.038146,            0.049762,            0.015102,             0.96157,             0.93737,             0.95477,             0.65116,            0.034582,            0.032842,             0.01204,           0.0052174,           0.0052174,           0.0052174
